company_id,year,cfo,cfi,cff,pat,cfo_quality_score,cfo_quality_label,cfo_sign,cfi_sign,cff_sign,pattern_label,data_status
ABB,2012,101.0,-59.0,-42.0,145.0,0.696551724137931,Moderate,+,-,-,Reinvestor,Available
ABB,2014,155.0,-144.0,-42.0,198.0,0.7828282828282829,Moderate,+,-,-,Reinvestor,Available
ABB,2015,215.0,-187.0,-58.0,229.0,0.9388646288209607,Moderate,+,-,-,Reinvestor,Available
ABB,2016,249.0,-77.0,-80.0,255.0,0.9764705882352941,Moderate,+,-,-,Reinvestor,Available
ABB,2017,307.0,-155.0,-90.0,277.0,1.108303249097473,High Quality,+,-,-,Shareholder Returns,Available
ABB,2018,153.0,-215.0,-102.0,401.0,0.38154613466334164,Accrual Risk,+,-,-,Reinvestor,Available
ABB,2019,499.0,-257.0,-143.0,450.0,1.1088888888888888,High Quality,+,-,-,Shareholder Returns,Available
ABB,2020,5437.0,-5643.0,1250.0,593.0,9.168634064080944,High Quality,+,-,+,Mixed,Available
ABB,2021,3784.0,-4009.0,-745.0,691.0,5.476121562952243,High Quality,+,-,-,Shareholder Returns,Available
ABB,2022,4097.0,-3936.0,-235.0,799.0,5.127659574468085,High Quality,+,-,-,Shareholder Returns,Available
ABB,2023,3777.0,-4699.0,923.0,949.0,3.9799789251844047,High Quality,+,-,+,Mixed,Available
ABB,2024,6038.0,-4943.0,-543.0,1201.0,5.027477102414655,High Quality,+,-,-,Shareholder Returns,Available
ADANIENSOL,2014,0.0,0.0,0.0,0.0,,NOT_AVAILABLE,0,0,0,Other,Available
ADANIENSOL,2015,-35.0,-1864.0,1902.0,-7.0,5.0,High Quality,-,-,+,Growth Funded by Debt,Available
ADANIENSOL,2016,1544.0,-816.0,-722.0,368.0,4.195652173913044,High Quality,+,-,-,Shareholder Returns,Available
ADANIENSOL,2017,2189.0,-1730.0,-455.0,416.0,5.262019230769231,High Quality,+,-,-,Shareholder Returns,Available
ADANIENSOL,2018,2198.0,-3192.0,1589.0,1143.0,1.9230096237970253,High Quality,+,-,+,Mixed,Available
ADANIENSOL,2019,2591.0,-3050.0,38.0,559.0,4.635062611806798,High Quality,+,-,+,Mixed,Available
ADANIENSOL,2020,5437.0,-5643.0,1250.0,706.0,7.701133144475921,High Quality,+,-,+,Mixed,Available
ADANIENSOL,2021,3784.0,-4009.0,-745.0,1290.0,2.933333333333333,High Quality,+,-,-,Shareholder Returns,Available
ADANIENSOL,2022,4097.0,-3936.0,-235.0,1236.0,3.3147249190938513,High Quality,+,-,-,Shareholder Returns,Available
ADANIENSOL,2023,3777.0,-4699.0,923.0,1281.0,2.9484777517564402,High Quality,+,-,+,Mixed,Available
ADANIENSOL,2024,6038.0,-4943.0,-543.0,1196.0,5.048494983277592,High Quality,+,-,-,Shareholder Returns,Available
ADANIENT,2013,7666.0,-14790.0,7199.0,1218.0,6.293924466338259,High Quality,+,-,+,Mixed,Available
ADANIENT,2014,8228.0,-8007.0,-1109.0,2646.0,3.109599395313681,High Quality,+,-,-,Shareholder Returns,Available
ADANIENT,2015,8532.0,-11465.0,3445.0,2298.0,3.7127937336814623,High Quality,+,-,+,Mixed,Available
ADANIENT,2016,5112.0,-1825.0,-3448.0,1000.0,5.112,High Quality,+,-,-,Shareholder Returns,Available
ADANIENT,2017,774.0,-1460.0,716.0,925.0,0.8367567567567568,Moderate,+,-,+,Mixed,Available
