company_id,company_name,year,year_numeric,operating_activity,investing_activity,financing_activity,net_cash_flow,sales,operating_profit,net_profit,free_cash_flow_cr,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_intensity_label,fcf_conversion_rate_pct,cfo_sign,cfi_sign,cff_sign,capital_allocation_pattern,negative_fcf_3yr_flag,negative_cfo_flag,financing_dependence_flag,capital_allocation_distress_flag,distress_flag,cashflow_health_score,cashflow_health_label
ABB,Abbott India Ltd,Dec 2012,2012,101.0,-59.0,-42.0,1.0,1653.0,202.0,145.0,42.0,0.696551724137931,Moderate,3.569267997580157,Moderate,20.792079207920793,+,-,-,Reinvestor,False,False,False,False,False,85,Strong
ABB,Abbott India Ltd,Mar 2014,2014,155.0,-144.0,-42.0,-31.0,2276.0,267.0,198.0,11.0,0.7828282828282829,Moderate,6.32688927943761,Moderate,4.119850187265917,+,-,-,Reinvestor,False,False,False,False,False,85,Strong
ABB,Abbott India Ltd,Mar 2015,2015,215.0,-187.0,-58.0,-30.0,2289.0,312.0,229.0,28.0,0.9388646288209607,Moderate,8.169506334643948,Capital Intensive,8.974358974358974,+,-,-,Reinvestor,False,False,False,False,False,85,Strong
ABB,Abbott India Ltd,Mar 2016,2016,249.0,-77.0,-80.0,91.0,2614.0,365.0,255.0,172.0,0.9764705882352941,Moderate,2.9456771231828616,Asset Light,47.12328767123288,+,-,-,Reinvestor,False,False,False,False,False,85,Strong
ABB,Abbott India Ltd,Mar 2017,2017,307.0,-155.0,-90.0,62.0,2903.0,398.0,277.0,152.0,1.108303249097473,High Quality,5.339304168101963,Moderate,38.19095477386934,+,-,-,Shareholder Returns,False,False,False,False,False,95,Strong
ABB,Abbott India Ltd,Mar 2018,2018,153.0,-215.0,-102.0,-165.0,3298.0,525.0,401.0,-62.0,0.38154613466334164,Accrual Risk,6.519102486355368,Moderate,-11.80952380952381,+,-,-,Reinvestor,False,False,False,False,False,25,Distress
ABB,Abbott India Ltd,Mar 2019,2019,499.0,-257.0,-143.0,99.0,3679.0,605.0,450.0,242.0,1.1088888888888888,High Quality,6.985593911388964,Moderate,40.0,+,-,-,Shareholder Returns,False,False,False,False,False,95,Strong
ABB,Abbott India Ltd,Mar 2020,2020,626.0,-401.0,-217.0,8.0,4093.0,757.0,593.0,225.0,1.0556492411467115,High Quality,9.79721475690203,Capital Intensive,29.722589167767506,+,-,-,Shareholder Returns,False,False,False,False,False,95,Strong
ABB,Abbott India Ltd,Mar 2021,2021,727.0,-72.0,-582.0,73.0,4310.0,922.0,691.0,655.0,1.0520984081041969,High Quality,1.6705336426914155,Asset Light,71.04121475054231,+,-,-,Shareholder Returns,False,False,False,False,False,95,Strong
ABB,Abbott India Ltd,Mar 2022,2022,948.0,-396.0,-637.0,-86.0,4913.0,1082.0,799.0,552.0,1.1864831038798498,High Quality,8.0602483207816,Capital Intensive,51.01663585951941,+,-,-,Shareholder Returns,False,False,False,False,False,95,Strong
ABB,Abbott India Ltd,Mar 2023,2023,893.0,-148.0,-639.0,107.0,5349.0,1206.0,949.0,745.0,0.9409905163329821,Moderate,2.766872312581791,Asset Light,61.77446102819238,+,-,-,Reinvestor,False,False,False,False,False,85,Strong
ABB,Abbott India Ltd,Mar 2024,2024,1213.0,-416.0,-745.0,52.0,5849.0,1453.0,1201.0,797.0,1.009991673605329,High Quality,7.112326893486067,Moderate,54.852030282174816,+,-,-,Shareholder Returns,False,False,False,False,False,95,Strong
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2014,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,NOT_AVAILABLE,,NOT_AVAILABLE,,0,0,0,Other,False,False,False,False,False,50,Watch
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2015,2015,-35.0,-1864.0,1902.0,3.0,131.0,101.0,-7.0,-1899.0,5.0,High Quality,1422.9007633587787,Capital Intensive,-1880.19801980198,-,-,+,Growth Funded by Debt,False,True,True,True,True,30,Distress
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2016,2016,1544.0,-816.0,-722.0,6.0,2194.0,1927.0,368.0,728.0,4.195652173913044,High Quality,37.192342752962624,Capital Intensive,37.77893098079917,+,-,-,Shareholder Returns,False,False,False,False,False,95,Strong
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2017,2017,2189.0,-1730.0,-455.0,4.0,2876.0,1983.0,416.0,459.0,5.262019230769231,High Quality,60.15299026425591,Capital Intensive,23.14674735249622,+,-,-,Shareholder Returns,False,False,False,False,False,95,Strong
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2018,2018,2198.0,-3192.0,1589.0,596.0,3944.0,2826.0,1143.0,-994.0,1.9230096237970253,High Quality,80.93306288032454,Capital Intensive,-35.17338995046001,+,-,+,Mixed,False,False,False,False,False,55,Watch
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2019,2019,2591.0,-3050.0,38.0,-421.0,7305.0,2778.0,559.0,-459.0,4.635062611806798,High Quality,41.752224503764545,Capital Intensive,-16.52267818574514,+,-,+,Mixed,False,False,False,False,False,55,Watch
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2020,2020,5437.0,-5643.0,1250.0,1045.0,11416.0,4258.0,706.0,-206.0,7.701133144475921,High Quality,49.43062368605466,Capital Intensive,-4.837952090183185,+,-,+,Mixed,True,False,False,False,True,35,Distress
