report_type,company_id,sector,output_file,size_bytes,runtime_seconds,status,error
company_tearsheet,ABB,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\ABB_tearsheet.pdf,165486,1.252,PASS,
company_tearsheet,ADANIENSOL,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\ADANIENSOL_tearsheet.pdf,188622,1.159,PASS,
company_tearsheet,ADANIENT,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\ADANIENT_tearsheet.pdf,179695,1.218,PASS,
company_tearsheet,ADANIGREEN,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\ADANIGREEN_tearsheet.pdf,172871,1.104,PASS,
company_tearsheet,ADANIPORTS,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\ADANIPORTS_tearsheet.pdf,172173,1.148,PASS,
company_tearsheet,ADANIPOWER,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\ADANIPOWER_tearsheet.pdf,177808,1.21,PASS,
company_tearsheet,AMBUJACEM,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\AMBUJACEM_tearsheet.pdf,193363,1.248,PASS,
company_tearsheet,APOLLOHOSP,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\APOLLOHOSP_tearsheet.pdf,196354,1.195,PASS,
company_tearsheet,ASIANPAINT,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\ASIANPAINT_tearsheet.pdf,183035,1.202,PASS,
company_tearsheet,ATGL,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\ATGL_tearsheet.pdf,100603,0.598,PASS,
company_tearsheet,AXISBANK,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\AXISBANK_tearsheet.pdf,185311,1.153,PASS,
company_tearsheet,BAJAJ-AUTO,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\BAJAJ-AUTO_tearsheet.pdf,186755,1.155,PASS,
company_tearsheet,BAJAJFINSV,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\BAJAJFINSV_tearsheet.pdf,182718,1.241,PASS,
company_tearsheet,BAJAJHLDNG,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\BAJAJHLDNG_tearsheet.pdf,170204,1.18,PASS,
company_tearsheet,BAJFINANCE,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\BAJFINANCE_tearsheet.pdf,171140,1.164,PASS,
company_tearsheet,BANKBARODA,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\BANKBARODA_tearsheet.pdf,183697,1.134,PASS,
company_tearsheet,BEL,,C:\Users\ASUS\nifty100_project\src\reports\tearsheets\BEL_tearsheet.pdf,185416,1.253,PASS,
